ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo ,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA
1,M       ,746.476,39,MED     ,CAS     ,68,213,LOS ANGELES     ,0,38.292,0,434.357,1.766,9.110,340,2,2.000.000,NO,NO FUGA
2,F       ,11.901,49,MED     ,VIU     ,16,89,SANTIAGO        ,0,0,0,0,48,0,0,1,7.500.000,SI,NO FUGA
3,M       ,1.651.421,39,TEC     ,CAS     ,90,16,ANTOFAGASTA     ,0,604.169,0,0,323,26.489,2.925,1,8.000.000,NO,NO FUGA
4,F       ,638.969,36,UNV     ,CAS     ,85,115,SANTIAGO        ,0,5.125,0,198.998,94,0,105,1,2.600.000,NO,NO FUGA
5,M       ,860.113,44,TEC     ,CAS     ,45,80,SANTIAGO        ,0,11.946,0,73.959,149,0,272,1,6.400.000,NO,NO FUGA
6,M       ,329.463,40,TEC     ,CAS     ,53,92,SANTIAGO        ,0,187.538,0,12.008,641,118,154,2,7.700.000,NO,FUGA
7,M       ,28.732,45,UNV     ,CAS     ,55,90,SANTIAGO        ,559.984,532.706,0,0,1.464,15.600,1.523,1,2.900.000,NO,FUGA
8,F       ,11.563,41,TEC     ,SOL     ,47,112,SANTIAGO        ,0,141.317,0,525.325,13,0,477,1,2.100.000,SI,NO FUGA
9,F       ,3.044.549,33,MED     ,CAS     ,22,1,ARICA           ,0,102.078,0,0,44,0,0,1,1.600.000,NO,NO FUGA
10,F       ,3.632.707,39,MED     ,VIU     ,27,89,SANTIAGO        ,0,162.658,0,445.896,865,0,907,1,2.800.000,NO,NO FUGA
11,F       ,2.904.507,46,MED     ,CAS     ,41,103,SANTIAGO        ,1.308.419,773.273,0,543.085,9.603,0,1.845,1,3.700.000,NO,NO FUGA
12,F       ,81.895,37,TEC     ,CAS     ,139,90,SANTIAGO        ,0,71.058,0,0,40,0,0,1,1.900.000,NO,NO FUGA
13,M       ,525.874,48,UNV     ,CAS     ,52,93,SANTIAGO        ,222.325,1.055,0,0,597,0,0,1,1.900.000,NO,FUGA
14,M       ,63.148,43,UNV     ,CAS     ,122,105,SANTIAGO        ,0,203.033,0,139.614,205,404,555,1,4.800.000,NO,FUGA
15,F       ,2.620.751,39,TEC     ,VIU     ,80,110,SANTIAGO        ,0,759.881,0,94.735,0,0,0,0,3.300.000,NO,NO FUGA
16,M       ,35.296,40,MED     ,CAS     ,128,88,SANTIAGO        ,0,0,0,0,181,0,0,1,1.900.000,NO,FUGA
17,M       ,28.267,45,UNV     ,CAS     ,55,90,SANTIAGO        ,0,197.999,0,503.706,326,0,5.994,3,4.000.000,SI,FUGA
18,M       ,808.822,,UNV     ,CAS     ,31,119,SANTIAGO        ,0,14.243,0,0,147,0,0,2,4.500.000,NO,FUGA
19,M       ,47.223,54,UNV     ,CAS     ,152,88,SANTIAGO        ,0,6.266,0,2.804,119,0,138,1,4.800.000,NO,FUGA
20,F       ,23.976,41,MED     ,SOL     ,16,85,SANTIAGO        ,0,42.045,0,82.508,434,0,50,1,1.800.000,SI,NO FUGA
